Sender ID,Receiver ID,Receiver Timestamp,Range,Message Size,Signal Strength,Message ID,Message,Status Code
716,6500,791115970,3.981072,18,-58,576,hello from device.,16
716,6500,791115970,3.981072,18,-58,576,hello from device.,16
6469,6500,791115970,3.922247,18,-57,576,hello from device.,16
716,6500,791115970,3.934012,18,-58,576,hello from device.,16
716,6500,791115970,4.149584,18,-61,576,hello from device.,16
5333,6500,791115970,4.908323,18,-67,576,hello from device.,16
5333,1030,791115972,4.786391,29,-59,5,Welcome Device is now online.,0
1024,1030,791115972,4.688846,29,-59,5,Welcome Device is now online.,0
716,1030,791115972,4.679394,29,-60,5,Welcome Device is now online.,0
716,1030,791115972,4.671834,29,-60,5,Welcome Device is now online.,0
5333,1030,791115972,4.739841,29,-61,5,Welcome Device is now online.,0
716,1030,791115972,5.154457,29,-65,5,Welcome Device is now online.,0
1024,1030,791115975,5.205905,18,-62,576,hello from device.,16
5333,1030,791115975,5.247063,18,-62,576,hello from device.,16
5333,1030,791115975,5.366333,18,-63,576,hello from device.,16
6469,1030,791115975,5.461749,18,-63,576,hello from device.,16
716,1030,791115975,6.221637,18,-69,576,hello from device.,16
6469,1030,791115975,6.448594,18,-66,576,hello from device.,16
6469,1030,791115977,6.241215,39,-62,50,Welcome Device is powered up and ready.,2
716,1030,791115977,6.075311,39,-62,50,Welcome Device is powered up and ready.,2
5333,1030,791115977,6.222833,39,-65,50,Welcome Device is powered up and ready.,2
5333,1030,791115977,6.830504,39,-69,50,Welcome Device is powered up and ready.,2
1024,1030,791115977,6.726318,39,-64,50,Welcome Device is powered up and ready.,2
716,6500,791115980,6.642969,39,-64,50,Welcome Device is powered up and ready.,2
1024,6500,791115980,6.78566,39,-66,50,Welcome Device is powered up and ready.,2
716,6500,791115980,7.428528,39,-70,50,Welcome Device is powered up and ready.,2
1024,6500,791115980,9.365479,39,-77,50,Welcome Device is powered up and ready.,2
1024,6500,791115980,8.754298,39,-64,50,Welcome Device is powered up and ready.,2
1024,17,791115982,8.085777,18,-62,576,hello from device.,16
6469,17,791115982,7.939906,18,-66,576,hello from device.,16
5333,17,791115982,7.940581,18,-67,576,hello from device.,16
716,17,791115982,7.941122,18,-67,576,hello from device.,16
716,17,791115982,8.205134,18,-69,576,hello from device.,16
716,17,791115982,8.416345,18,-69,576,hello from device.,16
6469,6500,791115985,7.901758,39,-63,50,Welcome Device is powered up and ready.,2
5333,6500,791115985,7.683991,39,-65,50,Welcome Device is powered up and ready.,2
6469,6500,791115985,7.735849,39,-67,50,Welcome Device is powered up and ready.,2
716,6500,791115985,8.907393,39,-74,50,Welcome Device is powered up and ready.,2
716,6500,791115985,8.387829,39,-64,50,Welcome Device is powered up and ready.,2
1024,1030,791115987,7.878946,39,-63,1,Welcome aboard Device is now connected.,1
716,1030,791115987,7.774442,39,-66,1,Welcome aboard Device is now connected.,1
5333,1030,791115987,7.934945,39,-68,1,Welcome aboard Device is now connected.,1
5333,1030,791115987,9.770613,39,-77,1,Welcome aboard Device is now connected.,1
1024,1030,791115987,8.985173,39,-63,1,Welcome aboard Device is now connected.,1
1024,6500,791115990,8.270477,18,-62,576,hello from device.,16
716,6500,791115990,7.785065,18,-63,576,hello from device.,16
6469,6500,791115990,7.489966,18,-64,576,hello from device.,16
5333,6500,791115990,7.463258,18,-66,576,hello from device.,16
716,6500,791115990,8.488457,18,-73,576,hello from device.,16
5333,6500,791115990,8.506157,18,-68,576,hello from device.,16
6469,1030,791115992,7.973608,29,-63,5,Welcome Device is now online.,0
1024,1030,791115992,7.547569,29,-63,5,Welcome Device is now online.,0
5333,1030,791115992,7.50934,29,-66,5,Welcome Device is now online.,0
716,1030,791115992,7.596128,29,-67,5,Welcome Device is now online.,0
6469,1030,791115992,8.236453,29,-71,5,Welcome Device is now online.,0
1024,1030,791115992,8.589163,29,-70,5,Welcome Device is now online.,0
6469,1030,791115992,7.799648,29,-60,5,Welcome Device is now online.,0
1024,5500,791115995,7.501634,29,-64,5,Welcome Device is now online.,0
716,5500,791115995,8.333136,29,-72,5,Welcome Device is now online.,0
5333,5500,791115995,11.31912,29,-81,5,Welcome Device is now online.,0
716,5500,791115995,12.47795,29,-77,5,Welcome Device is now online.,0
6469,5500,791115995,11.34495,29,-65,5,Welcome Device is now online.,0
